AccountContext,30,3170,2755,10,405
AccountUtils,1,46,43,0,3
ActionSheetPeerItem,1,171,130,0,41
ActivityIndicator,1,215,185,0,30
AlertUI,1,52,44,0,8
AnimatedStickerNode,3,821,715,1,105
AnimationUI,1,122,101,0,21
AppBundle,2,31,23,0,8
AppLock,2,404,345,0,59
AppLockState,1,62,53,0,9
ArchivedStickerPacksNotice,1,316,249,0,67
AsyncDisplayKit,147,27392,16648,6137,4607
AuthTransferUI,2,869,717,0,152
AuthorizationUI,2,205,182,0,23
AvatarNode,2,844,734,0,110
BotPaymentsUI,25,5242,4387,4,851
BuildConfig,2,514,413,20,81
BuildConfigExtra,2,269,199,11,59
CallListUI,7,2168,1867,2,299
Camera,7,639,530,4,105
ChatListSearchItemHeader,1,180,158,0,22
ChatListSearchItemNode,1,168,142,0,26
ChatListSearchRecentPeersNode,1,306,260,0,46
ChatListUI,33,17999,15780,32,2187
ChatTitleActivityNode,7,796,647,0,149
CheckNode,2,246,206,0,40
CloudData,1,160,142,0,18
ComposePollUI,4,2614,2278,8,328
ContactListUI,11,4351,3776,1,574
ContactsPeerItem,2,1067,933,0,134
ContextUI,3,2358,2021,9,328
CounterContollerTitleView,1,80,62,0,18
CountrySelectionUI,3,596,480,1,115
Crc32,2,15,10,0,5
CryptoUtils,2,100,79,0,21
Database/Buffers,1,173,144,0,29
Database/MessageHistoryMetadataTable,1,332,297,0,35
Database/MessageHistoryReadStateTable,1,576,488,0,88
Database/MurmurHash,3,143,101,6,36
Database/PeerTable,1,100,84,0,16
Database/PostboxCoding,1,1297,1090,0,207
Database/PostboxDataTypes,9,779,658,0,121
Database/PreferencesTable,2,88,75,0,13
Database/Table,1,18,14,0,4
Database/ValueBox,5,2496,2041,40,415
DateSelectionUI,1,142,117,0,25
DeleteChatPeerActionSheetItem,1,156,130,0,26
DeviceAccess,2,509,491,0,18
DeviceLocationManager,2,166,127,10,29
DeviceProximity,5,203,162,0,41
DirectionalPanGesture,1,61,46,0,15
Display,143,32155,27236,292,4627
Emoji,2,177,160,0,17
EncryptionKeyVisualization,4,131,104,0,27
EncryptionProvider,1,62,42,0,20
FFMpegBinding,20,954,713,30,211
FastBlur,4,447,364,18,65
GZip,3,121,96,2,23
GalleryUI,23,8165,6963,20,1182
GameUI,3,326,265,0,61
Geocoding,1,86,79,0,7
GlassButtonNode,1,178,152,0,26
GraphCore,51,7781,6227,425,1129
GraphUI,11,1508,1194,77,237
GridMessageSelectionNode,1,61,48,0,13
HashtagSearchUI,2,267,215,0,52
HexColor,1,16,13,0,3
HorizontalPeerItem,2,265,210,10,45
ImageBlur,1,60,46,0,14
ImageCompression,1,48,38,0,10
ImageTransparency,1,120,108,0,12
InstantPageCache,1,55,48,0,7
InstantPageUI,53,11351,9667,70,1614
ItemListAddressItem,1,383,324,0,59
ItemListAvatarAndNameInfoItem,1,1127,983,0,144
ItemListPeerActionItem,1,320,265,0,55
ItemListPeerItem,1,1452,1235,0,217
ItemListStickerPackItem,1,759,648,0,111
ItemListUI,28,7742,6551,14,1177
ItemListVenueItem,1,416,350,0,66
JoinLinkPreviewUI,3,758,609,0,149
LanguageLinkPreviewUI,3,731,597,0,134
LanguageSuggestionUI,1,373,312,0,61
LegacyComponents,1155,196365,151506,6824,38035
LegacyDataImport,18,2943,2509,28,406
LegacyMediaPickerUI,9,1268,1084,27,157
LegacyUI,11,1689,1413,1,275
LightweightAccountData,1,99,84,0,15
ListSectionHeaderNode,1,107,87,0,20
LiveLocationManager,2,535,461,0,74
LiveLocationPositionNode,1,191,162,0,29
LiveLocationTimerNode,1,129,103,0,26
LocalAuth,2,91,69,10,12
LocalMediaResources,2,484,417,4,63
LocalizedPeerData,1,60,58,0,2
LocationResources,2,435,368,0,67
LocationUI,18,4937,4246,3,688
ManagedAnimationNode,2,277,224,4,49
MapResourceToAvatarSizes,1,30,29,0,1
Markdown,1,167,151,0,16
MediaPlayer,23,6194,5179,104,911
MediaResources,1,359,298,0,61
MergeLists,2,572,454,50,68
MessageReactionListUI,3,629,508,1,120
MimeTypes,3,360,341,1,18
MonotonicTime,2,25,19,0,6
MosaicLayout,1,354,294,0,60
MtProtoKit,184,32263,23767,2398,6098
MurMurHash32,2,133,92,6,35
MusicAlbumArtResources,1,159,135,0,24
NetworkLogging,2,56,45,0,11
NotificationMuteSettingsUI,1,97,90,0,7
NotificationSoundSelectionUI,1,324,286,0,38
NotificationsPresentationData,1,13,10,0,3
NumberPluralizationForm,2,358,306,24,28
ObjCRuntimeUtils,2,150,115,0,35
OpenInExternalAppUI,3,655,551,0,104
OpenSSLEncryptionProvider,2,413,314,0,99
Opus,5,3163,593,2324,246
OpusBinding,26,11938,7273,3541,1124
OverlayStatusController,7,1305,1055,1,249
PKCS,2,110,86,0,24
PasscodeInputFieldNode,1,382,321,0,61
PasscodeUI,10,2401,2049,0,352
PassportUI,40,12193,10819,49,1325
PasswordSetupUI,10,2949,2633,2,314
Pdf,1,31,26,0,5
PeerAvatarGalleryUI,3,1138,962,1,175
PeerInfoUI,42,22232,19802,99,2331
